created,request_id,endpoint,request_type,filename,pages,status,cost_cents,cached,quality_score
2026-04-21T10:11:48.892617+00:00,3Sh7TDq0NhvlEbpt3xlWKA,pipeline,marker_high_accuracy,SDS_ExtractNow_Sewage_Water_DNA_RNA_Kit_Lysis_Buffer_E_612-1050_en_DE_Ver.01.pdf,8,success,4.0000,false,4.88
2026-04-21T10:11:24.721821+00:00,OfWZUkpITNTQMn3umZhCig,pipeline,marker_high_accuracy,SDS_ExtractNow_Sewage_Water_DNA_RNA_Kit_Enrichment_Reagent_A_612-1050_en_DE_Ver.01.pdf,7,success,4.0000,false,4.71
2026-04-21T10:10:56.201191+00:00,haHgC15i5hikm9i0D2GMMQ,pipeline,marker_high_accuracy,SDS_ExtractNow_Sewage_Water_DNA_RNA_Kit_Binding_Buffer_C_612-1050_en_DE_Ver.01.pdf,9,success,5.0000,false,4.78
2026-04-21T10:10:01.563715+00:00,G6FQWT94TgizZeqhN7H2UQ,pipeline,marker_high_accuracy,SDS_AquaScreen_FastExtract_Kit__Wash_Buffer_1_32-1xxx_en_DE_Ver.03.pdf,8,success,4.0000,false,4.75
2026-04-21T10:06:18.944601+00:00,sajXRxhiiVZZGZtPkiJ9Eg,pipeline,marker_high_accuracy,SDS_AquaScreen_FastExtract_Kit__Binding_Buffer_32-1xxx_en_DE_Ver.04.pdf,9,success,5.0000,false,4.44
2026-04-21T10:05:49.447233+00:00,lCUxxJ5Ko_GVkpl0AdwugQ,pipeline,marker_high_accuracy,SDS_PCR_Clean_Spray_15-2xxx_en_DE_Ver.02.pdf,8,success,4.0000,false,4.50
2026-04-21T10:05:23.881482+00:00,9V9UC50SsIKlWtl6WnEuCQ,pipeline,marker_high_accuracy,SDS_PCR_Clean_Spray_15-2xxx_en_DE_Ver.02.pdf,8,success,4.0000,false,4.38
2026-04-21T09:49:55.629728+00:00,sEizBXpb2kZzZs9jbrBppg,pipeline,pipeline,SDS_Proteinase_K_56-0002_en_DE_Ver.05.pdf,8,success,4.0000,false,
2026-04-21T07:45:44.247426+00:00,dHSAR89GBWD2gp7MJI-3VA,marker,marker,pdf_6c439f6f1ef648c4bfb438e048cabc20_SDS_SwabUp_Lab_Monitoring_Binding_Buffer_181-00xx_en_DE_Ver.02.pdf,9,success,3.0000,false,4.56
2026-04-20T08:21:20.226607+00:00,Vhf6qyxPd9ZV5FitEYdq6A,marker,marker,pdf_8eeab781c8f441ad9a4af916177ca393_SDS_NAT-MAT_Extraction__Proteinase_K_58-0502_en_US_Ver.01.pdf,8,success,3.0000,false,4.62
2026-04-19T23:23:04.583008+00:00,4JANujs19yDQIrwiLQBuqA,marker,marker,pdf_d38a021c535c45e5b40911ce18ffe279_translated_document_20260413.pdf,8,success,3.0000,false,4.62
2026-04-19T22:01:01.171616+00:00,vdo3y2GjwtWeINFz4jj4tA,marker,marker,pdf_8e46102ad2d6412e852ab87c2cbc0b82_SDS_NAT-MAT_Extraction__Lysis_Buffer_58-0502_en_DE_Ver.01.pdf,9,success,3.0000,false,4.78
2026-04-19T21:34:57.434253+00:00,2G2poKEL2_-cuFPitASJ4g,marker,marker,pdf_6936e4836f024e56921fdd45a00a9512_SDS_Mycoplasma_Off_15-5xxx_en_DE_Ver.05.pdf,11,success,4.0000,false,4.40
2026-04-19T21:22:05.489285+00:00,SwhhCqHtaPexClxheI5Xtw,marker,marker,pdf_f9b2201f9a764abea988d8d6844ab17d_Sdb_EU-REACH_MiQuant_SP_Beads_Proteinase_K__56-4010._56-4100_V1_en_DE_SDScomXMLChem.pdf,9,success,3.0000,false,4.56
2026-04-19T21:21:40.297129+00:00,dIOmddEMfaznrkSH2eGWKw,marker,marker,pdf_b4c57367fa5142928abf8b6e55a4e47e_Sdb_EU-REACH_MiQuant_Residual_DNA_dPCR_CHO_Rehydration_Buffer_58-0111_58-0112_V1_en_DE_SDScomXMLChem.pdf,11,success,4.0000,false,4.70
2026-04-19T20:05:05.005946+00:00,SrFsFHFctOVEx0N9b-Fuqg,marker,marker,pdf_e3279c90cc0146b1835b136f61082ba3_Sdb_EU-REACH_Cyclus_Bead_Extraction_Binding_Buffer__SMB95-6000_V1_en_DE_SDScomXMLChem.pdf,9,success,3.0000,false,4.67
2026-04-04T14:05:44.975386+00:00,N0qeCCfyA8b5PhPucFI6LQ,custom_pipeline,marker_high_accuracy,SDS_Mycoplasma_Off_15-5xxx_en_DE_Ver.05.pdf,11,success,5.0000,false,
2026-04-04T04:07:48.749873+00:00,h0P0tcZVWcZldECifrfFpg,convert,marker_high_accuracy,"Sdb_EU-REACH_ExtractNow™ Sewage Water DNA_RNA Kit, Proteinase K_612-1050_V1_en_FI_SDScomXMLChem.pdf",7,success,4.0000,false,4.43
